symbol,signal_date,entry_date,side,regime,side_mode,stop_atr,target_atr,stop_r,tgt_r,atr_period,ref_date,entry_price,stop_price,target_price,atr_value,px_ok,expr_score_raw,expr_valid,expr_score,rr_pred,rr_choice_score,gate_mult_now,expr_score_adj
PURPLEUTED-SM,2026-03-13,2026-03-16,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-13,275.5,256.6958926893558,331.91232193193264,17.094642639160156,1,0.5550747,1,0.5550747,,0.5550747,1.0,0.5550747
BULKCORP-SM,2026-03-13,2026-03-16,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-13,52.45000076293945,49.8936459464083,60.11906521253292,2.3239588737487793,1,0.54813933,1,0.54813933,,0.54813933,1.0,0.54813933
INSPIRE-SM,2026-03-13,2026-03-16,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-13,11.399999618530273,10.358124442168254,14.525625147616331,0.9471592307090759,1,0.54813933,1,0.54813933,,0.54813933,1.0,0.54813933
PATTECH-SM,2026-03-13,2026-03-16,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-13,111.0,106.11363843817361,125.65908468547917,4.4421467781066895,1,0.54813933,1,0.54813933,,0.54813933,1.0,0.54813933
NOCIL,2026-03-13,2026-03-16,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-13,135.00999450683594,128.57911038765292,154.302646864385,5.846258163452148,1,0.48295456,1,0.48295456,,0.48295456,1.0,0.48295456
HDFCNIF100,2026-03-13,2026-03-16,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-13,27.399999618530273,26.297717535446296,30.706845867782206,1.0020745992660522,1,0.47771305,1,0.47771305,,0.47771305,1.0,0.47771305
PVTBANKADD,2026-03-13,2026-03-16,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-13,26.5,25.844499627449288,28.466501117652136,0.5959094166755676,1,0.39523906,1,0.39523906,,0.39523906,1.0,0.39523906
REMUS-SM,2026-03-13,2026-03-16,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-13,652.0,613.6114367747618,767.1656896757145,34.8986930847168,1,0.3884778,1,0.3884778,,0.3884778,1.0,0.3884778
SMARTLINK,2026-03-13,2026-03-16,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-13,118.80999755859375,112.99734155454081,136.24796557075257,5.2842326164245605,1,0.37668377,1,0.37668377,,0.37668377,1.0,0.37668377
MUTHOOTFIN,2026-03-13,2026-03-16,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-13,3334.0,3195.1026985580856,3750.691904325743,126.27027130126953,1,0.36187172,1,0.36187172,,0.36187172,1.0,0.36187172
915AEL28-NC,2026-03-13,2026-03-16,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-13,1055.0,1049.301797600265,1072.0946071992053,5.1801838874816895,1,0.35499573,1,0.35499573,,0.35499573,1.0,0.35499573
RTL-SM,2026-03-13,2026-03-16,short,bear,both,1.100000023841858,2.200000047683716,1.1,2.2,14,2026-03-13,94.0,99.99430335639397,82.01139328721206,5.449366569519043,1,0.3322413,1,0.3322413,,0.3322413,1.0,0.3322413
J&KBANK,2026-03-13,2026-03-16,short,bear,both,1.100000023841858,1.6500000357627869,1.1,1.65,14,2026-03-13,120.5999984741211,126.53365148053717,111.69951896449697,5.394229888916016,1,0.2954914,1,0.2954914,,0.2954914,1.0,0.2954914
SRF,2026-03-13,2026-03-16,short,bear,both,1.100000023841858,1.6500000357627869,1.1,1.65,14,2026-03-13,2495.0,2590.8040670179034,2351.293899473145,87.0946044921875,1,0.2835735,1,0.2835735,,0.2835735,1.0,0.2835735
SUPREMEIND,2026-03-13,2026-03-16,short,bear,both,1.100000023841858,1.6500000357627869,1.1,1.65,14,2026-03-13,3877.300048828125,4008.4551030929533,3680.5674674308825,119.23186492919922,1,0.2588938,1,0.2588938,,0.2588938,1.0,0.2588938
HIRECT,2026-03-13,2026-03-16,short,bear,both,1.100000023841858,1.6500000357627869,1.1,1.65,14,2026-03-13,1425.0,1500.053609567417,1312.4195856488745,68.23055267333984,1,0.25080666,1,0.25080666,,0.25080666,1.0,0.25080666
NAVA,2026-03-13,2026-03-16,short,bear,both,1.100000023841858,1.6500000357627869,1.1,1.65,14,2026-03-13,551.0,576.3188958887381,513.0216561668929,23.01717758178711,1,0.22352317,1,0.22352317,,0.22352317,1.0,0.22352317
DBL,2026-03-13,2026-03-16,short,bear,both,1.100000023841858,1.6500000357627869,1.1,1.65,14,2026-03-13,437.1000061035156,458.29973037892523,405.3004196904012,19.272476196289062,1,0.2232269,1,0.2232269,,0.2232269,1.0,0.2232269
DEEDEV,2026-03-13,2026-03-16,short,bear,both,1.100000023841858,1.6500000357627869,1.1,1.65,14,2026-03-13,295.0,318.2018435738703,260.19723463919456,21.09258460998535,1,0.22295856,1,0.22295856,,0.22295856,1.0,0.22295856
CENTRUM,2026-03-13,2026-03-16,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-13,23.739999771118164,22.090348804004606,28.68895267245884,1.4996826648712158,1,0.20058018,1,0.20058018,,0.20058018,1.0,0.20058018
LGBBROSLTD,2026-03-13,2026-03-16,short,bear,both,1.100000023841858,1.6500000357627869,1.1,1.65,14,2026-03-13,1790.0,1885.6469289529741,1646.5296065705388,86.95175170898438,1,0.19928223,1,0.19928223,,0.19928223,1.0,0.19928223
VARDMNPOLY-BE,2026-03-13,2026-03-16,short,bear,both,1.100000023841858,1.6500000357627869,1.1,1.65,14,2026-03-13,7.909999847412109,8.603895279903746,6.869156698674654,0.6308140158653259,1,0.19775486,1,0.19775486,,0.19775486,1.0,0.19775486
PFOCUS,2026-03-13,2026-03-16,short,bear,both,1.100000023841858,1.6500000357627869,1.1,1.65,14,2026-03-13,255.5,272.60205172413157,229.84692241380264,15.547319412231445,1,0.19275507,1,0.19275507,,0.19275507,1.0,0.19275507
FELDVR-BZ,2026-03-13,2026-03-16,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-13,2.8499999046325684,2.6461209312595244,3.4616368247517,0.18534451723098755,1,0.1917116,1,0.1917116,,0.1917116,1.0,0.1917116
