pos_id,symbol,side,regime,side_mode,stop_r,tgt_r,entry_date,exit_date,exit_reason,entry_price,exit_price,rmult_used,risk_amt,gate_mult,score,pnl,equity_before,equity_after,marked_to,model_run
38,SHOPERSTOP,long,bull,both,1.1,3.3,2026-03-09,2026-03-09,TIME,311.3500061035156,301.6000061035156,-0.4732020337681171,5000.0,1.0,0.8272258639335632,-2366.0101688405853,904749.451110948,902383.4409421074,2026-03-09,2026-03-10
39,DOLPHIN,long,bull,both,1.1,3.3,2026-03-09,2026-03-09,TIME,417.7000122070313,478.6499938964844,1.8467003504767006,5000.0,1.0,0.7500168085098267,9233.501752383503,902383.4409421074,911616.9426944909,2026-03-09,2026-03-10
40,TATAINVEST,long,bull,both,1.1,3.3,2026-03-09,2026-03-09,STOP,654.8499755859375,624.5246075733062,-1.0,5000.0,1.0,0.7466671466827393,-5000.0,911616.9426944909,906616.9426944909,2026-03-09,2026-03-10
41,ARTEMISMED,long,bull,both,1.1,3.3,2026-03-09,2026-03-09,STOP,233.8999938964844,224.10274417623063,-1.0,5000.0,1.0,0.7420214414596558,-5000.0,906616.9426944909,901616.9426944909,2026-03-09,2026-03-10
42,DIXON,long,bull,both,1.1,3.3,2026-03-09,2026-03-09,STOP,10251.0,9811.832174319185,-1.0,5000.0,1.0,0.7309563755989075,-5000.0,901616.9426944909,896616.9426944909,2026-03-09,2026-03-10
43,ISHANCH,long,bull,both,1.1,3.3,2026-03-09,2026-03-09,STOP,60.77000045776367,56.54025092493947,-1.0,5000.0,1.0,0.684589684009552,-5000.0,896616.9426944909,891616.9426944909,2026-03-09,2026-03-10
44,ZYDUSWELL,long,bull,both,1.1,3.3,2026-03-09,2026-03-09,STOP,385.9500122070313,372.54810075322257,-1.0,5000.0,1.0,0.6603701710700989,-5000.0,891616.9426944909,886616.9426944909,2026-03-09,2026-03-10
45,SECURKLOUD,long,bull,both,1.1,3.3,2026-03-09,2026-03-09,OPEN_STOP,22.700000762939453,21.0,-1.0696990718120654,5000.0,1.0,0.6433789730072021,-5348.495359060327,886616.9426944909,881268.4473354305,2026-03-09,2026-03-10
46,NTPCGREEN,long,bull,both,1.1,3.3,2026-03-09,2026-03-09,STOP,88.25,85.9121175736106,-1.0,5000.0,1.0,0.5909691452980042,-5000.0,881268.4473354305,876268.4473354305,2026-03-09,2026-03-10
47,HAL,long,bull,both,1.1,3.3,2026-03-09,2026-03-09,TIME,3978.60009765625,3989.89990234375,0.08653050809707923,5000.0,1.0,0.5753206610679626,432.6525404853961,876268.4473354305,876701.0998759159,2026-03-09,2026-03-10
48,SWIGGY,long,bull,both,1.1,3.3,2026-03-09,2026-03-09,TIME,299.79998779296875,301.25,0.10529713017550789,5000.0,1.0,0.573889970779419,526.4856508775395,876701.0998759159,877227.5855267935,2026-03-09,2026-03-10
49,SHAH,long,bull,both,1.1,3.3,2026-03-09,2026-03-09,STOP,4.889999866485596,4.703409068712521,-1.0,5000.0,1.0,0.5650633573532104,-5000.0,877227.5855267935,872227.5855267935,2026-03-09,2026-03-10
50,JAGRAN,long,bull,both,1.1,3.3,2026-03-09,2026-03-09,STOP,63.41999816894531,61.99109260323036,-1.0,5000.0,1.0,0.5598021745681763,-5000.0,872227.5855267935,867227.5855267935,2026-03-09,2026-03-10
51,ACE,long,bull,both,1.1,3.3,2026-03-09,2026-03-09,OPEN_STOP,885.9000244140625,843.0499877929688,-1.4148996939667413,5000.0,1.0,0.5287915468215942,-7074.498469833707,867227.5855267935,860153.0870569597,2026-03-09,2026-03-10
52,HUBTOWN,long,bull,both,1.1,3.3,2026-03-09,2026-03-09,STOP,220.0,207.50361405943988,-1.0,5000.0,1.0,0.5149648189544678,-5000.0,860153.0870569597,855153.0870569597,2026-03-09,2026-03-10
53,VBL,long,bull,both,1.1,3.3,2026-03-09,2026-03-09,STOP,451.0,436.65999238404345,-1.0,5000.0,1.0,0.5035300850868225,-5000.0,855153.0870569597,850153.0870569597,2026-03-09,2026-03-10
54,MGSL-SM,long,bull,both,1.1,3.3,2026-03-09,2026-03-09,OPEN_STOP,83.05000305175781,75.05000305175781,-1.879971617394829,5000.0,1.0,0.4705559611320495,-9399.858086974145,850153.0870569597,840753.2289699856,2026-03-09,2026-03-10
55,SUPREMEPWR-SM,long,bull,both,1.1,3.3,2026-03-09,2026-03-09,TIME,146.85000610351562,158.1999969482422,1.0901232036163053,5000.0,1.0,0.468256413936615,5450.616018081527,840753.2289699856,846203.8449880672,2026-03-09,2026-03-10
56,DAMODARIND,long,bull,both,1.1,3.3,2026-03-09,2026-03-09,STOP,26.0,24.58699200667017,-1.0,5000.0,1.0,0.4061316847801208,-5000.0,846203.8449880672,841203.8449880672,2026-03-09,2026-03-10
58,SVLL,long,bull,both,1.1,3.3,2026-03-09,2026-03-09,TIME,567.3499755859375,552.5499877929688,-0.3341629754350045,5000.0,1.0,0.346798837184906,-1670.8148771750225,841203.8449880672,839533.0301108921,2026-03-09,2026-03-10
59,TAINWALCHM,short,bear,both,1.1,1.65,2026-03-09,2026-03-09,TIME,202.8999938964844,191.5800018310547,0.8065528611268538,5000.0,1.0,0.3157314658164978,4032.764305634269,839533.0301108921,843565.7944165264,2026-03-09,2026-03-10
